id,title,title_jp,slug,summary,summary_jp,description,description_jp,meta_title,meta_description,meta_keyword,photo,stock,size,condition,status,price,price_jp,price_hk,discount,is_featured,extra_description,extra_description_jp,cat_id,child_cat_id,brand_id,duration,skill_level,skill_level_jp,lectures,language,language_jp,created_at,updated_at
1,Anime Character Design Fundamentals,アニメキャラクターデザインの基礎,anime-character-design-fundamentals,"Start your journey into character design by learning how memorable anime-inspired characters are created from simple ideas. You'll explore facial expressions, proportions, poses, and personality while building the confidence to design original characters that feel expressive, unique, and ready for illustrations, comics, or games.",シンプルなアイデアから思い出に残るアニメ風のキャラクターがどのように作成されるかを学ぶことで、キャラクターデザインへの旅を始めましょう。 表情、プロポーション、ポーズ、個性を探求しながら、表現力豊かでユニークで、イラスト、コミック、ゲームの準備ができているオリジナルのキャラクターをデザイ,"Start your creative journey with Anime Character Design Fundamentals and discover how professional artists transform simple ideas into memorable characters. Throughout this course, you'll learn the essentials of character construction, facial expressions, body proportions, dynamic poses, silhouettes, and personality development. Each lesson focuses on building confidence through practical exercises and easy-to-follow demonstrations that encourage creativity while strengthening technical skills. As you progress, you'll create original characters with unique identities, explore visual storytelling techniques, and understand the design principles used across anime, manga, games, and digital illustration. Whether you're completely new to drawing or looking to improve your artistic foundation, this course provides a supportive learning experience that helps you develop the skills needed to bring your imagination to life with confidence and creativity.",アニメキャラクターデザインの基礎から創造的な旅を始めて、プロのアーティストがシンプルなアイデアを思い出に残るキャラクターに変える方法を発見してください。 このコースでは、キャラクターの構築、表情、体のプロポーション、ダイナミックなポーズ、シルエット、個性の発達の本質を学びます。 各レッスンでは、技術的なスキルを強化しながら創造性を奨励する実践的な演習とわかりやすいデモンストレーションを通じて自信を築くことに焦点を当てています。 進行するにつれて、ユニークなアイデンティティを持つオリジナルのキャラクターを作成し、視覚的なストーリーテリング技術を探求し、アニメ、マンガ、ゲーム、デジタ あなたが描くことに全く新しいか、あなたの芸術的基盤を向上させるために探しているかどうか、このコースは、あなたが自信と創造性との生活にあな,Anime Character Design Fundamentals | Online Art Course,"Learn the fundamentals of anime character design, concept development, anatomy, and visual storytelling to create memorable characters for illustration, games, and digital media.","anime character design, character design course, concept art course, anime drawing, online art classes",storage/photos/products/1.webp,10000,,,active,0,0,0,0,0,,,1,0,0,8 Hours,,,,,,NULL,NULL
2,Character Anatomy & Dynamic Poses,キャラクターの解剖学とダイナミックなポーズ,character-anatomy-dynamic-poses,"Discover how the human body works through easy-to-follow anatomy lessons and dynamic pose practice. This course helps you draw natural movement, improve proportions, and create expressive characters with greater confidence, making your artwork more believable and visually engaging from the very beginning.",わかりやすい解剖学のレッスンとダイナミックなポーズの練習を通して、人体がどのように機能するかを発見してください。 このコースでは、自然な動きを描き、プロポーションを改善し、より自信を持って表現力豊かなキャラクターを作成し、アートワークを最初からより信じられ、視覚的に魅力的にするのに役立ちます。,"Discover the art of drawing believable characters by exploring anatomy, body structure, and dynamic movement in an approachable way. This course guides you through muscles, proportions, gestures, balance, and expressive poses while helping you understand how the human body works from an artist's perspective. Instead of memorizing complex anatomy, you'll build practical drawing skills through step-by-step exercises that improve confidence and accuracy. By the end of the course, you'll be able to create natural-looking characters with convincing movement and expressive body language, giving your illustrations more life, personality, and visual impact across anime, manga, comics, games, and digital artwork.",親しみやすい方法で解剖学、体の構造、動的な動きを探索することによって、信じられないキャラクターを描く芸術を発見してください。 このコースでは、筋肉、プロポーション、ジェスチャー、バランス、表現力豊かなポーズをガイドしながら、アーティストの視点から人体がどのように機能するかを理解するのに役立ちます。 複雑な解剖学を暗記するのではなく、自信と正確さを向上させるステップバイステップの演習を通じて実用的な描画スキルを構築します。 コースの終わりまでに、説得力のある動きと表現力豊かなボディランゲージで自然に見えるキャラクターを作成し、イラストにアニメ、マンガ、コミック、ゲーム、デジタルアートワーク全体でより多くの生命、個性、視覚的な影響を与えることができます。,Character Anatomy & Dynamic Poses | Online Art Course,"Master character anatomy, dynamic poses, movement, and figure construction while building confident drawing skills for anime, manga, illustration, and concept art projects.","character anatomy, dynamic poses, figure drawing, anatomy course, digital art training",storage/photos/products/2.webp,10000,,,active,0,0,0,0,0,,,1,0,0,12 Hours,,,,,,NULL,NULL
3,"Costume, Fashion & Character Styling",コスチューム、ファッション、キャラクタースタイリング,costume-fashion-character-styling,"Every great character has a style that tells a story. In this course, you'll learn how to design clothing, hairstyles, accessories, and costumes that reflect personality, genre, and mood while creating visually appealing characters with a strong and memorable identity.",すべての偉大なキャラクターは、物語を語るスタイルを持っています。 このコースでは、個性、ジャンル、気分を反映した服、ヘアスタイル、アクセサリー、衣装をデザインしながら、強く印象的なアイデンティティを持つ視覚的に魅力的なキャラクターを作成する方法を学びます。,"Every memorable character has a unique sense of style, and this course teaches you how to create clothing, accessories, hairstyles, and costumes that communicate personality and story. You'll explore different fashion inspirations, color combinations, fabric details, and silhouette design while learning how visual choices influence character identity. Through creative projects and practical demonstrations, you'll design outfits that suit various genres, from fantasy adventures to modern settings. The course encourages experimentation while helping you develop a consistent artistic style, making it easier to create original characters that feel authentic, visually appealing, and ready for illustrations, comics, animation, or game development.",すべての記憶に残るキャラクターは、スタイルのユニークな感覚を持っており、このコースでは、個性と物語を伝える服、アクセサリー、ヘアスタイル、衣装を作 ビジュアルの選択がキャラクターのアイデンティティにどのように影響するかを学びながら、さまざまなファッションのインスピレーション、色の組み合わせ、ファブリックディテール、シルエットデザインを探索します。 創造的なプロジェクトと実践的なデモンストレーションを通じて、ファンタジーの冒険から現代の設定まで、さまざまなジャンルに合った衣装をデザインします。 このコースでは、一貫した芸術的スタイルを開発しながら実験を奨励し、本物で視覚的に魅力的で、イラスト、漫画、アニメーション、またはゲーム開発の準備ができていると感じるオリジナルのキャラクターを簡単に作成できます。,"Costume, Fashion & Character Styling | Online Art Course","Create stylish character costumes, accessories, and fashion concepts while exploring color, personality, and visual identity for original character designs.","character costume design, anime fashion, character styling, costume illustration, design course",storage/photos/products/3.webp,10000,,,active,0,0,0,0,0,,,1,0,0,10 Hours,,,,,,NULL,NULL
4,Creature & Fantasy Character Design,クリーチャー＆ファンタジーキャラクターデザイン,creature-fantasy-character-design,"Step into the world of fantasy by designing creatures, magical beings, and original characters from your imagination. Learn creative design techniques, anatomy basics, and visual storytelling to bring unique ideas to life for illustrations, games, comics, and personal creative projects.",あなたの想像力から生き物、魔法の存在、およびオリジナルの文字を設計することにより、ファンタジーの世界に足を踏み入れます。 イラスト、ゲーム、漫画、個人的な創造的なプロジェクトのための生活にユニークなアイデアをもたらすために創造的なデザイン技術、解剖学の基礎、およ,"Bring your imagination to life by learning how to design original fantasy characters, magical creatures, mythical beings, and imaginative monsters. This course combines creative thinking with practical design techniques, helping you understand anatomy, shapes, textures, and storytelling while creating unique concepts from scratch. You'll explore different fantasy themes, experiment with visual styles, and develop creatures that feel believable within their fictional worlds. Through guided exercises and creative challenges, you'll strengthen your artistic confidence while producing original designs suitable for concept art, illustrations, games, comics, and entertainment projects that showcase your creativity and storytelling skills.",オリジナルのファンタジーキャラクター、魔法の生き物、神話上の存在、想像力豊かなモンスターをデザインする方法を学ぶことによって、あなたの想像 このコースでは、創造的思考と実用的なデザインテクニックを組み合わせて、解剖学、形、テクスチャ、ストーリーテリングを理解しながら、ユニークなコンセプトをゼロから作成するのに役立ちます。 さまざまなファンタジーのテーマを探索し、視覚的なスタイルを試し、架空の世界の中で信じられないと感じる生き物を開発します。 ガイド付きの演習と創造的な課題を通じて、あなたの創造性とストーリーテリングのスキルを紹介するコンセプトアート、イラスト、ゲーム、漫画、エンターテイメントプロジェクトに適したオリジナルのデザインを制作しながら、あなたの芸術的な自信を強化します。,Creature & Fantasy Character Design | Online Art Course,"Design imaginative creatures and fantasy characters using professional concept art techniques, creative anatomy, and visual development for entertainment and digital art.","creature design, fantasy character art, monster design, concept illustration, digital art course",storage/photos/products/4.webp,10000,,,active,0,0,0,0,0,,,1,0,0,14 Hours,,,,,,NULL,NULL
5,Professional Character Concept Art,プロのキャラクターコンセプトアート,professional-character-concept-art,"Learn how professional artists turn rough sketches into polished concept art. This course introduces creative workflows, character development, and presentation techniques while helping you create portfolio-ready artwork that showcases both your artistic skills and original ideas.",プロのアーティストがラフスケッチを洗練されたコンセプトアートに変える方法を学びましょう。 このコースでは、創造的なワークフロー、キャラクター開発、プレゼンテーションテクニックを紹介しながら、芸術的スキルと独創的なアイデアの両方を紹介するポートフォリオ対応のアートワークを作成するのに役立ちます。,"Professional concept artists do much more than create attractive drawings—they solve creative problems through visual design. In this course, you'll learn the complete concept art workflow, from brainstorming ideas and sketching thumbnails to refining polished character presentations. Discover how professionals develop strong silhouettes, explore multiple design variations, and communicate ideas clearly through artwork. Along the way, you'll build portfolio-quality projects while improving creativity, presentation, and artistic decision-making. Whether your goal is entertainment design, illustration, or personal creative growth, this course provides practical knowledge that helps you transform rough ideas into polished character concepts ready for professional portfolios.",プロのコンセプトアーティストは、魅力的な図面を作成するだけでなく、視覚的なデザインを通じて創造的な問題を解決します。 このコースでは、アイデアのブレーンストーミングやサムネイルのスケッチから、洗練されたキャラクタープレゼンテーションの精緻化まで、完全なコンセプトアートのワークフローを学びます。 プロフェッショナルがどのようにして強いシルエットを開発し、複数のデザインバリエーションを探索し、アートワークを通じてアイデアを明確に伝えるかを発見してください。 その過程で、創造性、プレゼンテーション、芸術的意思決定を向上させながら、ポートフォリオ品質のプロジェクトを構築します。 あなたの目標は、エンターテイメントデザイン、イラスト、または個人的な創造的な成長であるかどうか、このコースは、あなたがプロのポートフォリオの,Professional Character Concept Art | Online Art Course,"Develop production-ready character concept art by combining creative ideas, design principles, anatomy, and storytelling into polished portfolio-quality artwork.","character concept art, professional concept art, visual development, entertainment design, online course",storage/photos/products/5.webp,10000,,,active,0,0,0,0,0,,,1,0,0,16 Hours,,,,,,NULL,NULL
6,Digital Drawing Essentials,デジタル描画の必需品,digital-drawing-essentials,"Build a solid foundation in digital drawing with simple techniques that improve sketching, line work, and overall confidence. Whether you're new to digital art or refining your basics, you'll develop practical skills that prepare you for more advanced illustration projects.",スケッチ、ラインワーク、および全体的な自信を向上させる簡単な技術でデジタル描画の強固な基盤を構築します。 デジタルアートに慣れていない場合でも、基本を洗練している場合でも、より高度なイラストプロジェクトに備える実践的なスキルを身につけます。,"Build lasting confidence in digital art by learning the essential skills every illustrator should know. This course introduces digital sketching, line art, brush control, composition, and workflow techniques using modern drawing software. Through easy-to-follow lessons and hands-on projects, you'll understand how to create clean, polished artwork while developing consistent drawing habits. Rather than focusing only on software tools, the course emphasizes artistic fundamentals that improve every illustration you create. By strengthening your drawing foundation, you'll be well prepared for advanced painting, concept art, comics, animation, and professional illustration projects while enjoying the creative process from the very first lesson.",すべてのイラストレーターが知っておくべき本質的なスキルを学ぶことによって、デジタルアートに永続的な自信を構築します。 このコースでは、現代の描画ソフトウェアを使用して、デジタルスケッチ、ラインアート、ブラシ制御、組成物、およびワークフローの技術を紹介します。 わかりやすいレッスンと実践的なプロジェクトを通じて、一貫した描画習慣を開発しながら、きれいで洗練されたアートワークを作成する方法を理解 このコースでは、ソフトウェアツールだけに焦点を当てるのではなく、作成するすべてのイラストを改善する芸術的な基礎を強調します。 あなたの描画の基礎を強化することにより、非常に最初のレッスンからの創造的なプロセスを楽しみながら、高度な絵画、コンセプトアート、漫画、アニメ、プロのイラストプロジェクトのために十分に準備されます。,Digital Drawing Essentials | Online Art Course,"Build a strong foundation in digital drawing through sketching, line art, composition, and essential illustration techniques using professional digital art workflows.","digital drawing, drawing fundamentals, digital sketching, illustration basics, online art course",storage/photos/products/6.webp,10000,,,active,0,0,0,0,0,,,2,0,0,8 Hours,,,,,,NULL,NULL
7,Color Theory & Digital Painting,カラー理論＆デジタル絵画,color-theory-digital-painting,"Bring your artwork to life with color, lighting, and painting techniques that make every illustration more vibrant and expressive. Learn how to combine colors, create depth, and build atmosphere while developing a strong understanding of digital painting fundamentals.",あらゆる実例をより活気に満ち、表現力豊かにさせる色、照明および絵画技術の生命にあなたのアートワークを持って来なさい。 デジタルペインティングの基礎を強く理解しながら、色を組み合わせ、深みを作り、雰囲気を作る方法を学びます。,"Master the foundations of digital painting by learning how color, light, and brush techniques work together to create visually engaging artwork. This course explores color harmony, shading, blending, texture creation, and rendering methods through practical demonstrations and creative exercises. You'll discover how artists use color to communicate emotion, guide attention, and build atmosphere within an illustration. As your confidence grows, you'll create vibrant digital paintings with improved depth, balance, and realism while developing a stronger artistic style suitable for character art, environments, illustrations, and creative portfolio projects.",色、光、ブラシのテクニックがどのように連携して視覚的に魅力的なアートワークを作成するかを学ぶことで、デジタルペインティングの基礎を習得 このコースでは、実践的なデモンストレーションと創造的な演習を通じて、色の調和、シェーディング、ブレンド、テクスチャの作成、レンダ アーティストが色を使用して感情を伝え、注意を導き、イラスト内の雰囲気を構築する方法を発見できます。 あなたの自信が成長するにつれて、キャラクターアート、環境、イラスト、創造的なポートフォリオプロジェクトに適した強力な芸術的スタイルを開発しながら、深さ、バランス、リアリズムを向上させた活気に満ちたデジタルペインティングを作成します。,Color Theory & Digital Painting | Online Art Course,"Explore color theory, digital painting, blending, shading, and rendering techniques to create vibrant illustrations with depth, harmony, and artistic expression.","color theory, digital painting, color harmony, painting techniques, illustration course",storage/photos/products/12.webp,10000,,,active,0,0,0,0,0,,,2,0,0,12 Hours,,,,,,NULL,NULL
8,Lighting & Atmospheric Illustration,照明＆雰囲気イラスト,lighting-atmospheric-illustration,"Lighting has the power to completely change the mood of an illustration. In this course, you'll discover how to use shadows, highlights, and atmosphere to create depth, emotion, and eye-catching artwork with a more polished and professional appearance.",照明には、イラストの気分を完全に変える力があります。 このコースでは、影、ハイライト、雰囲気を使用して、より洗練されたプロフェッショナルな外観で深み、感情、目を引くアートワークを作成する方法を学びます。,"Lighting can completely transform the mood of an illustration, and this course teaches you how to use it with confidence. Explore highlights, shadows, reflections, atmospheric effects, and color temperature while learning how professional artists create depth and emotion through light. You'll experiment with different lighting scenarios, from soft natural daylight to dramatic cinematic scenes, developing practical techniques that enhance every artwork you create. By understanding how light interacts with forms, materials, and environments, you'll produce illustrations that feel richer, more immersive, and visually compelling across a wide variety of creative projects.",照明はイラストの雰囲気を完全に変えることができ、このコースでは自信を持ってそれを使用する方法を教えてくれます。 プロのアーティストが光を通して深みと感情をどのように作り出すかを学びながら、ハイライト、影、反射、大気効果、色温度を探ります。 柔らかく自然な日光から劇的な映画のシーンまで、さまざまな照明シナリオを試し、作成するすべてのアートワークを強化する実用的なテクニックを開発します。 光がフォーム、マテリアル、環境とどのように相互作用するかを理解することで、さまざまなクリエイティブプロジェクトで、より豊かで没入感があり、視覚的に魅力的なイラストを作成できます。,Lighting & Atmospheric Illustration | Online Art Course,"Learn lighting, shadows, atmosphere, and mood creation to produce visually engaging digital illustrations with realistic depth and cinematic artistic impact.","lighting illustration, atmospheric painting, digital lighting, environment lighting, art course",storage/photos/products/13.webp,10000,,,active,0,0,0,0,0,,,2,0,0,12 Hours,,,,,,NULL,NULL
9,Advanced Rendering Techniques,高度なレンダリング技術,advanced-rendering-techniques,"Take your digital artwork to the next level by learning advanced rendering techniques used by professional illustrators. Improve textures, materials, and finishing details while creating polished artwork that stands out in portfolios, personal projects, and creative showcases.",プロのイラストレーターが使用する高度なレンダリング技術を学ぶことによって、次のレベルにあなたのデジタルアートワークを取ります。 ポートフォリオ、個人的なプロジェクト、クリエイティブなショーケースで際立っている洗練されたアートワークを作成しながら、テクスチャ、素材、仕上げの詳細を改善します。,"Take your digital painting skills beyond the basics by mastering advanced rendering techniques that add realism, polish, and visual appeal. This course focuses on textures, materials, edge control, color refinement, and finishing details that help artwork stand out professionally. Through guided projects and creative practice, you'll learn efficient workflows that improve both quality and productivity. Each lesson encourages artistic growth while helping you create polished illustrations suitable for portfolios, freelance opportunities, publishing, entertainment, and personal creative achievements.",リアリズム、ポリッシュ、および視覚的な魅力を追加する高度なレンダリング技術を習得することにより、基本を超えてあなたのデジタ このコースでは、アートワークが専門的に目立つのに役立つテクスチャ、素材、エッジコントロール、色の洗練、仕上げの詳細に焦点を当てています。 ガイド付きプロジェクトと創造的な実践を通じて、品質と生産性の両方を向上させる効率的なワークフローを学びます。 各レッスンを芸術的成長をお手伝いを研磨したイラストに適したポートフォリオ、フリーランスの機会、出版、エンターテイメント、個人の創造。,Advanced Rendering Techniques | Online Art Course,"Refine advanced rendering skills with professional painting techniques, realistic textures, polished finishes, and production-quality digital illustration workflows.","advanced rendering, digital rendering, painting techniques, illustration skills, concept art",storage/photos/products/14.webp,10000,,,active,0,0,0,0,0,,,2,0,0,16 Hours,,,,,,NULL,NULL
10,Portfolio Illustration Masterclass,ポートフォリオイラストのマスタークラス,portfolio-illustration-masterclass,"Showcase your best work with a portfolio that reflects your artistic style and technical skills. Learn how to select, organize, and present your artwork professionally, helping you prepare for freelance opportunities, higher education, or careers in the creative industry.",あなたの芸術的なスタイルと技術的なスキルを反映したポートフォリオであなたの最高の作品を紹介します。 あなたのアートワークを専門的に選択、整理、提示する方法を学び、フリーランスの機会、高等教育、または創造的な業界でのキャリアの準備を支援します。,"Create a portfolio that represents your artistic strengths while presenting your work professionally and confidently. This course guides you through selecting projects, organizing artwork, refining presentations, and understanding what clients, schools, and creative employers often look for. You'll learn how to showcase your unique artistic style while building a collection of high-quality work that demonstrates growth, creativity, and technical ability. By the end of the course, you'll have a polished portfolio ready to support freelance opportunities, further education, or creative career goals.",あなたの仕事を専門的かつ自信を持って提示しながら、あなたの芸術的な強みを表すポートフォリオを作成します。 このコースでは、プロジェクトの選択、アートワークの整理、プレゼンテーションの洗練、クライアント、学校、創造的な雇用主がよく探しているものを理解することをガイドします。 成長、創造性、技術的能力を示す高品質の作品のコレクションを構築しながら、あなたのユニークな芸術的スタイルを紹介する方法を学びます。 コースの終わりまでに、フリーランスの機会、さらなる教育、または創造的なキャリアの目標をサポートする準備ができて洗練されたポートフォリオ,Portfolio Illustration Masterclass | Online Art Course,"Create an impressive illustration portfolio featuring polished artwork, professional presentation, and industry-ready projects for creative careers and freelance opportunities.","illustration portfolio, professional artwork, portfolio development, digital illustration, online training",storage/photos/products/15.webp,10000,,,active,0,0,0,0,0,,,2,0,0,20 Hours,,,,,,NULL,NULL
